id,var_rpta_alt,prob_uno
433108#822667#257675,0,0.37774
289900#468186#612156,0,0.31474
552718#975864#104478,1,0.57935
252673#19118#1072423,1,0.55712
424236#753663#326679,0,0.38327
404712#1049894#30448,1,0.65418
173755#236494#846435,0,0.44180
459224#250834#832165,0,0.41610
486651#847422#232920,1,0.50214
557459#792744#287598,1,0.65728
127327#87041#1018223,0,0.37490
371150#469028#611314,1,0.50687
475719#701593#378749,0,0.34024
199090#828213#252129,0,0.47697
572449#694141#386201,0,0.10171
543703#852553#227789,0,0.17206
327060#356974#722891,0,0.29146
82033#893980#186362,0,0.28035
131314#456450#623876,0,0.38152
429884#93728#994048,1,0.72810
492300#123279#964544,1,0.65757
611578#219645#863145,0,0.48827
367569#245710#837285,1,0.63824
512696#875162#205180,0,0.38442
188020#936162#144180,0,0.31668
417862#378869#700987,1,0.62213
542163#678036#402306,0,0.41707
484518#470195#610147,0,0.35068
98259#20878#1013314,0,0.27723
67600#475454#604888,0,0.26819
580445#634256#446086,1,0.55469
157358#193637#894613,0,0.39725
253426#811705#268637,1,0.64979
603495#496861#583481,0,0.25321
152954#862137#218205,0,0.29840
374399#845719#234623,0,0.37947
582503#168940#919195,1,0.57528
480986#868312#212030,0,0.11183
315802#16659#998299,0,0.31211
360611#369261#710598,0,0.49786
305025#772344#307998,1,0.75105
131555#790900#289442,1,0.76914
400876#974689#105653,0,0.31342
469232#62946#1042039,1,0.50666
52956#511695#568647,0,0.29647
353762#230973#851860,1,0.79127
230608#617385#462957,0,0.36538
546614#340725#739920,0,0.24305
71406#1038241#42101,0,0.36832
282379#874729#205613,0,0.33469
178789#982973#97369,0,0.38966
25287#163761#924358,0,0.38228
180535#715948#364394,0,0.31430
510927#1024109#56233,0,0.34571
290788#807628#272714,0,0.33780
454289#704895#375447,0,0.35818
467463#3496#1012186,0,0.38630
215895#108520#979275,1,0.57744
311010#10360#1007269,1,0.61908
624439#249381#833617,1,0.55275
474512#174431#913681,0,0.49196
40246#835234#245108,0,0.14084
18707#599058#481284,1,0.59903
384868#610307#470035,0,0.40809
265973#703529#376813,1,0.61831
214372#1033273#47069,0,0.40257
425691#239509#843507,0,0.37189
454124#769607#310735,0,0.37652
348282#547564#532778,1,0.72035
454030#72515#1032541,1,0.66372
617220#477821#602521,1,0.59409
10266#235941#846962,1,0.52757
604654#684267#396075,0,0.42500
457834#508183#572159,1,0.58285
287168#107465#980329,0,0.46832
439781#1071428#8914,1,0.51080
595740#668536#411806,0,0.21250
252195#105198#982577,1,0.50739
175882#606723#473619,0,0.14457
416424#60350#1044628,0,0.36066
188959#607459#472883,0,0.30129
574146#533704#546638,1,0.52339
532782#868283#212059,0,0.23499
155226#399415#680497,0,0.24053
167152#143911#944191,0,0.35377
449881#723556#356786,0,0.33382
258458#331333#749229,0,0.41753
204002#303581#779524,1,0.51279
448483#146557#941535,1,0.72842
336652#763727#316615,0,0.27358
535891#990340#90002,0,0.16389
579435#810283#270059,0,0.14617
479276#509030#571312,0,0.30712
337505#426710#653271,0,0.46795
153595#865582#214760,1,0.57178
190526#449068#631290,0,0.40598
158976#994991#85351,0,0.20029
369175#324100#759033,0,0.37138
400514#256883#826094,0,0.41508
1940#118538#969295,1,0.50816
71029#180430#907695,1,0.57691
619511#199539#888730,0,0.47198
20908#1055248#25094,1,0.58302
150088#801277#279065,0,0.34793
497578#510605#569737,1,0.58828
563246#757778#322564,0,0.43527
603495#496886#583456,0,0.25321
388876#733412#346930,0,0.43700
398370#249951#833049,0,0.41857
203806#866994#213348,0,0.28500
91540#641777#438565,0,0.46813
222536#197703#890560,1,0.52768
279079#296507#786596,0,0.48780
287433#1058517#21825,0,0.24081
168574#823187#257155,0,0.26234
183206#133406#954569,0,0.16138
18776#237197#845760,1,0.50960
135526#155724#932377,0,0.46207
500057#790745#289597,0,0.34734
419818#58038#1046935,1,0.56624
92646#25737#1003881,0,0.28514
372721#58675#1046307,1,0.74309
454779#541656#538686,0,0.37027
170938#33673#1071355,0,0.40949
606747#116868#970943,0,0.28064
405324#291088#791968,1,0.55675
15289#482544#597798,1,0.61714
375772#1077401#2941,0,0.42236
155478#846246#234096,0,0.40335
116586#684298#396044,0,0.29666
375113#132928#955016,0,0.40738
505772#833123#247219,0,0.20623
444511#141535#946563,0,0.41172
281256#638677#441665,0,0.45097
58889#666239#414103,1,0.58869
422163#731128#349214,0,0.23542
521806#330137#750566,0,0.27615
544395#874838#205504,0,0.42662
281327#444304#636019,0,0.45621
442348#100077#987701,1,0.60646
74233#737328#343014,0,0.34316
608208#785557#294785,1,0.53422
547495#18777#1078677,0,0.43487
419552#256277#826707,0,0.40596
152718#186191#901959,0,0.48595
1874#309863#773269,0,0.47974
583917#455779#624557,0,0.38994
309585#21478#1008169,0,0.18821
271691#604252#476090,0,0.44519
630582#1042365#37977,0,0.19185
162877#267768#815242,1,0.83137
554009#1033945#46397,1,0.50500
159727#897668#182674,0,0.33771
333760#271660#811354,0,0.44014
419873#247331#835666,0,0.26476
175928#1002459#77883,1,0.52045
72575#527095#553247,0,0.38518
12315#1044201#36141,0,0.18030
192549#1007613#72729,1,0.70208
129921#990030#90312,0,0.48936
132959#166289#921834,1,0.51211
360962#975561#104781,0,0.49914
234703#122050#965768,0,0.45799
495097#816742#263600,0,0.30657
102018#342079#738581,0,0.41455
571842#310363#772778,1,0.55717
419496#346427#734280,0,0.49994
47255#789006#291336,0,0.33747
14971#642703#437639,1,0.69297
560724#486130#594212,0,0.43601
149937#981874#98468,0,0.40576
173304#709453#370889,1,0.80534
205923#872681#207661,0,0.32255
52908#690658#389684,0,0.38327
43618#190344#897892,0,0.31583
470113#334656#745929,1,0.64087
250296#492840#587502,1,0.72699
4950#609403#470939,0,0.40985
68603#208761#873962,0,0.44537
72176#132309#955607,0,0.32122
268744#890115#190227,0,0.34723
521737#1025667#54675,0,0.17233
316324#661909#418433,0,0.08061
362124#627053#453289,0,0.37972
75499#395409#684500,1,0.69390
165181#173688#914424,1,0.58813
432329#973467#106875,0,0.43345
21779#337491#743123,0,0.29744
268884#853703#226639,0,0.45148
1032#217635#865136,0,0.34910
236224#496964#583378,1,0.54509
260447#840489#239853,0,0.32569
3035#809271#271071,1,0.57420
170563#862445#217897,0,0.38985
265460#215612#867152,1,0.53808
402662#748810#331532,0,0.39843
438925#658092#422250,1,0.55749
483182#981624#98718,0,0.31522
548175#894300#186042,1,0.55329
495364#943628#136714,0,0.35923
68024#768171#312171,1,0.58349
190546#160804#927304,0,0.24916
427401#959849#120493,1,0.61018
543231#339221#741424,0,0.35593
183215#802798#277544,0,0.25960
228995#548134#532208,0,0.46372
173486#130232#957612,0,0.42530
472009#63008#1041977,0,0.39510
277297#664107#416235,0,0.16814
464416#988344#91998,0,0.42500
481804#993004#87338,0,0.28708
501997#763722#316620,0,0.37011
127453#635492#444850,0,0.24724
208802#469930#610412,1,0.57879
366264#724648#355694,1,0.55300
555112#1034030#46312,0,0.35199
414984#672364#407978,0,0.26161
35798#728888#351454,0,0.39616
425727#758513#321829,0,0.39051
252309#493197#587145,0,0.19789
284899#994657#85685,0,0.27738
26094#31605#875998,0,0.07695
215447#656052#424290,1,0.57453
518245#638127#442215,1,0.50618
216364#153715#934393,1,0.51854
18459#1011589#68753,1,0.65836
110699#375095#704753,0,0.29109
626126#819675#260667,0,0.26119
242069#769838#310504,0,0.33532
252078#443601#636717,0,0.41629
324342#595063#485279,0,0.38462
403265#909429#170913,1,0.52055
152459#287284#795786,0,0.43958
335669#121677#966144,1,0.50247
223996#1015832#64510,0,0.23695
90337#692523#387819,1,0.67597
209216#852823#227519,0,0.34511
70510#1008473#71869,0,0.31096
386196#242963#840049,0,0.25749
385242#982000#98342,0,0.43568
568599#971447#108895,0,0.44291
452021#144996#943102,0,0.39947
605297#347099#733613,1,0.50729
146055#1017642#62700,0,0.39618
5433#91331#996426,1,0.50940
201203#637757#442585,1,0.52686
164960#79371#1025797,1,0.52825
283204#100157#987619,1,0.79414
407142#74255#1030794,1,0.53996
251356#554218#526124,0,0.30714
168285#147320#940773,1,0.65794
458332#957537#122805,0,0.30573
322250#15143#1002128,0,0.17311
422749#97955#989808,0,0.44286
286349#400751#679159,0,0.37225
2963#497216#583126,0,0.27923
449884#945485#134857,0,0.39446
188485#115091#972729,1,0.58236
179417#524447#555895,1,0.60014
212669#1033765#46577,0,0.33661
508610#441758#638552,0,0.36253
127821#898545#181797,0,0.29991
308005#742511#337831,1,0.60190
607054#249249#833750,1,0.53445
25489#112610#975204,0,0.48411
68519#221139#861656,0,0.46738
287746#1034507#45835,0,0.31082
3397#835908#244434,1,0.57404
467047#361901#717958,0,0.49429
629211#77543#1027543,0,0.23758
532261#127782#960068,0,0.36241
67869#866678#213664,0,0.49569
432462#752874#327468,0,0.42011
409786#533942#546400,1,0.73662
600146#176878#911228,1,0.53347
310169#30837#885648,0,0.05776
338797#635474#444868,0,0.23691
196048#182275#905857,1,0.58362
110664#1008346#71996,0,0.31911
300529#1068820#11522,1,0.66677
68968#1027777#52565,1,0.89684
171592#674120#406222,0,0.43286
306510#600425#479917,1,0.64325
20826#628117#452225,0,0.32955
403013#357124#722741,1,0.64360
230419#210152#872587,1,0.60365
38305#343462#737204,0,0.46085
17313#480491#599851,0,0.43697
72300#606337#474005,1,0.61730
531116#656520#423822,0,0.45435
38007#1011235#69107,1,0.62859
164113#994329#86013,0,0.28042
601825#542313#538029,0,0.36503
349400#870208#210134,0,0.49473
8868#970990#109352,0,0.30203
162238#38183#1066901,0,0.39257
166132#834385#245957,0,0.43745
107266#145681#942415,1,0.53324
86594#238562#767952,1,0.54288
38865#513982#566360,0,0.47407
278836#823523#256819,0,0.28500
326522#1063946#16396,1,0.72554
566641#233242#849585,0,0.46602
552577#322689#760449,0,0.41455
158671#158260#929850,0,0.47258
479866#1054706#25636,0,0.33654
265736#336986#743610,0,0.28609
255079#620231#460111,0,0.25791
337526#773405#306937,0,0.39733
415225#398487#681425,0,0.34349
154296#91394#996365,1,0.70240
168351#815429#264913,0,0.42022
40665#1001102#79240,0,0.40675
283401#485549#594793,0,0.28977
607850#300664#782451,0,0.44944
227245#405702#674218,1,0.56809
544378#1022436#57906,1,0.56432
429076#736171#344171,0,0.49782
311336#32868#876499,0,0.21234
182558#220319#862472,1,0.50385
11014#131008#956841,0,0.37762
518455#637235#443107,1,0.61840
598236#307407#775717,0,0.45671
332921#917856#162486,0,0.20920
164429#566636#513706,0,0.38634
149727#597907#482435,0,0.41099
84723#807999#272343,1,0.51471
610916#95947#991827,0,0.45460
19556#158395#929717,0,0.29978
119254#14527#883515,0,0.23027
244404#480602#599740,1,0.66492
617622#380989#698869,0,0.38681
570677#650586#429756,0,0.30219
306238#988158#92184,0,0.08413
404550#65687#1039332,0,0.30833
575183#968618#111724,0,0.38499
560120#901425#178917,0,0.34035
42373#755358#324984,0,0.27436
589111#1008688#71654,0,0.27802
405216#811741#268601,0,0.39069
115605#156265#931836,0,0.36102
336505#870132#210210,0,0.29038
259593#627055#453287,0,0.42157
196767#114824#972996,1,0.56042
570789#16020#1074437,1,0.52467
597702#120271#967553,0,0.47522
495262#816585#263757,0,0.41317
108867#229684#853147,0,0.44615
563765#600426#479916,1,0.73237
516545#794998#285344,0,0.45195
346356#789571#290771,0,0.24389
34051#319317#755993,0,0.28158
28364#785464#294878,1,0.68961
506244#59187#1045788,1,0.59951
1967#524057#556285,0,0.27156
50707#539598#540744,0,0.20129
228213#11889#1012430,0,0.36292
18250#287111#795954,1,0.62236
407346#445751#634578,1,0.87446
258800#222719#860076,0,0.39649
258233#1001443#78899,0,0.29849
244367#283931#799119,0,0.40835
132483#692197#388145,0,0.23984
617181#682444#397898,0,0.38736
359273#1079717#625,0,0.29307
203859#476203#604139,0,0.22652
249493#911004#169338,0,0.31788
152069#335577#745008,0,0.20968
260082#893918#186424,1,0.78462
267000#713492#366850,1,0.67000
147082#362525#717332,0,0.40502
141645#483194#597148,0,0.13971
280917#1024760#55582,1,0.71897
607190#201217#887053,0,0.41989
526217#404443#675478,0,0.42915
496575#321513#761637,0,0.40362
419277#76291#1028780,0,0.32648
156510#732226#348116,0,0.26834
377347#67077#1037956,0,0.48221
50475#118980#968847,1,0.89441
320603#867955#212387,0,0.34288
514284#494949#585393,0,0.41394
299903#972323#108019,0,0.33194
136304#313246#769890,0,0.40386
409938#18900#1080142,0,0.32605
315275#597034#483308,0,0.18964
32647#723273#357069,0,0.26785
273934#1007400#72942,0,0.40849
600698#751513#328829,1,0.60520
150780#836569#243773,0,0.23972
517829#200908#887361,1,0.68923
62478#32782#884566,0,0.38524
336841#873115#207227,1,0.53712
37288#891740#188602,0,0.26537
147035#1045296#35046,0,0.30467
404665#1044747#35595,0,0.36370
346107#204151#881102,0,0.44561
397526#669744#410598,0,0.34909
245248#700662#379680,0,0.09382
381699#890459#189883,1,0.70894
336336#239048#843962,0,0.23085
96239#707199#373143,0,0.47010
232693#822660#257682,0,0.37374
250261#264933#818058,0,0.36419
372252#980731#99611,0,0.31146
110336#1069768#10574,0,0.07593
37406#96548#991224,0,0.39238
58500#503069#577273,0,0.25648
155482#321944#761200,0,0.28373
165863#349291#731464,1,0.54465
61956#655332#425010,1,0.58591
400242#362657#717198,0,0.32648
77537#947233#133109,0,0.36240
599941#890552#189790,1,0.59879
107178#502605#577737,0,0.15959
531666#1014855#65487,0,0.27297
75907#660335#420007,0,0.28542
311684#495384#584958,1,0.52919
215742#686427#393915,0,0.45750
389010#177406#910708,0,0.48734
426934#447719#632631,0,0.35763
308309#27337#1010403,0,0.15521
61047#1033772#46570,0,0.19917
584896#153031#935073,1,0.73839
287706#228853#853983,0,0.42662
112080#440878#639436,0,0.32901
113663#87415#1017852,0,0.45885
593079#1071456#8886,0,0.41608
427508#563782#516560,0,0.23739
560854#646998#433344,1,0.77956
211179#451789#628571,0,0.19922
532119#921799#158543,1,0.62819
121972#388209#691646,0,0.43559
578398#648713#431629,0,0.35592
603578#244488#838506,0,0.35827
568170#286985#796074,0,0.44385
69041#502340#578002,0,0.14367
8376#609211#471131,1,0.73487
607550#61686#1043296,0,0.27341
243872#588402#491940,0,0.45778
480156#856153#224189,0,0.22639
87683#470434#609908,1,0.62708
392726#607988#472354,1,0.57342
586288#811124#269218,0,0.46199
473385#761151#319191,1,0.65743
40891#816877#263465,0,0.19668
12145#211918#870841,0,0.44386
305040#411554#668366,0,0.46247
343885#138999#949099,0,0.32037
283819#664592#415750,0,0.48332
322911#849047#231295,1,0.63281
610728#870725#209617,1,0.74623
182004#303356#779749,1,0.64573
544587#55697#1049260,0,0.47087
612982#977964#102378,1,0.68305
524866#891539#188803,0,0.39318
147731#469760#610582,1,0.68762
362873#1074825#5517,1,0.53932
316709#999277#81065,0,0.25921
71458#366253#713600,0,0.41706
454779#541658#538684,0,0.28555
124464#704384#375958,0,0.48289
5287#950974#129368,0,0.33515
254242#89424#1015885,0,0.30359
379619#1075895#4447,0,0.48078
438760#743797#336545,0,0.34404
49242#453155#627194,0,0.47082
603100#286179#796884,1,0.50941
92854#630388#449954,0,0.28312
226759#658006#422336,0,0.25322
37580#386791#693058,0,0.41090
369781#191422#896817,0,0.35326
197271#399891#680018,1,0.61088
440975#382299#697554,1,0.63973
443463#402994#676928,1,0.55864
525894#201442#886828,1,0.67767
81255#884363#195979,0,0.20914
304033#914488#165854,1,0.66638
220701#138195#949902,0,0.45447
624100#572115#508227,0,0.44915
159910#1072750#7592,1,0.65154
37562#336511#744069,1,0.56487
36219#628529#451813,0,0.49349
517023#857894#222448,0,0.40581
408945#980609#99733,1,0.50709
581228#884272#196070,0,0.46862
257154#725228#355114,0,0.35568
511242#688026#392316,0,0.46963
521363#262904#820083,0,0.35479
26531#844564#235778,0,0.20800
313481#19224#885854,0,0.47566
511058#165155#922966,0,0.42069
514380#343327#737337,0,0.46435
594523#356628#723233,0,0.45831
477207#41273#1063828,0,0.31096
119521#207105#875568,0,0.48950
394474#509875#570467,0,0.43930
504882#835560#244782,0,0.46967
15289#482508#597834,1,0.61714
513424#677628#402714,0,0.35642
105749#259503#823483,0,0.48987
161721#559921#520421,0,0.15474
265611#713690#366652,0,0.09843
602200#787327#293015,1,0.54124
381168#1044708#35634,0,0.42328
200192#860161#220181,0,0.15846
358952#1533#1072097,0,0.44353
272428#475878#604464,0,0.47165
23404#550092#530250,0,0.39604
416851#110662#977146,0,0.46461
195809#713481#366861,1,0.50356
581478#797376#282966,0,0.46349
358884#428488#651510,0,0.48109
491175#831515#248827,0,0.41994
367036#1005910#74432,0,0.40792
590796#343958#736717,1,0.76989
33129#744935#335407,0,0.21796
568391#653221#427121,0,0.43945
557010#350289#730475,0,0.39013
184771#648977#431365,0,0.27555
25814#448620#631737,0,0.42156
35749#1027539#52803,0,0.38563
299285#995121#85221,0,0.49351
89206#703323#377019,0,0.46854
104257#748002#332340,0,0.40164
264239#966026#114316,1,0.57053
516878#868726#211616,0,0.12026
197486#648372#431970,0,0.46800
307132#30127#1062583,0,0.06249
523536#156165#931934,0,0.29737
572666#929858#150484,0,0.38293
511760#585438#494904,1,0.50635
594441#551135#529207,1,0.57840
152450#143024#945076,0,0.25169
171928#471674#608668,0,0.25346
425790#549468#530874,0,0.28484
80940#341594#739059,0,0.48290
457398#640669#439673,1,0.81782
91802#351850#728936,0,0.43178
321260#412169#667749,0,0.37583
70083#484711#595631,1,0.51150
188419#947221#133121,0,0.30498
251521#4255#1077019,0,0.33181
573357#424316#655670,1,0.66277
484612#685260#395082,1,0.53318
272901#836042#244300,0,0.23262
94950#771901#308441,0,0.48513
101567#687578#392764,1,0.75498
338033#422497#657490,1,0.51077
366858#274263#808758,0,0.43462
315882#1030844#49498,0,0.34996
551542#276726#806302,1,0.51396
368859#959333#121009,0,0.46032
8373#671519#408823,0,0.40056
254311#30479#1014233,1,0.53576
175152#654586#425756,0,0.31197
524875#287540#795530,0,0.44804
436749#994262#86080,1,0.58160
454869#58703#1046279,0,0.43801
512402#417500#662494,1,0.54047
409359#85356#1019903,0,0.33567
74825#770578#309764,1,0.82207
540171#402402#677518,0,0.18250
538053#1069212#11130,0,0.28194
68852#868276#212066,0,0.37997
335687#98064#989700,1,0.56597
347063#768029#312313,0,0.26019
104852#484296#596046,0,0.37451
340166#870587#209755,0,0.43907
198152#278145#804893,0,0.21820
306543#523901#556441,0,0.25936
610427#500786#579556,0,0.39587
166836#447678#632671,0,0.38327
463299#427581#652402,1,0.69468
307016#30978#877766,0,0.12874
65856#832826#247516,0,0.44307
69146#328210#754940,0,0.41881
610083#108721#979072,0,0.39798
276118#800740#279602,0,0.21952
215026#490398#589944,0,0.46047
620516#746705#333637,0,0.43388
72927#691528#388814,0,0.21704
268277#211502#871252,1,0.66153
588500#471213#609129,0,0.30315
361630#255634#827349,0,0.20604
413721#394666#685247,0,0.25151
502465#685398#394944,0,0.24859
629018#268397#814617,0,0.31896
27909#767971#312371,1,0.80968
182903#244895#832421,0,0.16875
213175#1031040#49302,0,0.21379
278634#25836#1001319,0,0.40306
509661#759403#320939,1,0.75101
140720#950561#129781,0,0.38745
132132#498349#581993,0,0.42516
564448#229135#853699,0,0.44045
100484#772459#307883,0,0.35775
290143#630099#450243,0,0.42648
311176#29828#1011948,0,0.18153
485858#625944#454398,0,0.46311
440513#440340#639963,0,0.49712
599080#361311#718551,1,0.72586
427951#959896#120446,0,0.29040
474287#744645#335697,0,0.37402
302231#34509#1070530,1,0.69355
536444#905452#174890,0,0.39489
344486#357534#722330,1,0.51483
564139#645897#434445,0,0.33774
518905#690755#389587,0,0.22659
416889#1053502#26840,0,0.31974
191265#664242#416100,0,0.36494
37793#95669#992105,0,0.38502
84626#770463#309879,1,0.68746
1070#251771#831231,0,0.45326
314709#19382#1000660,1,0.61730
726#115844#971975,0,0.31229
608884#660796#419546,1,0.54593
243808#835216#245126,0,0.39013
632358#1065344#14998,0,0.48398
138632#224710#858099,0,0.47922
329474#347810#732916,1,0.59901
40488#4826#1080295,0,0.37657
92920#588705#491637,0,0.36499
241039#674890#405452,0,0.14777
432557#566478#513864,0,0.34438
489117#380622#699237,1,0.51971
173728#199581#888688,0,0.44805
421612#803481#276861,0,0.39384
34576#81402#1023848,0,0.45859
471333#314153#768984,0,0.26958
123294#355569#724295,0,0.34349
592783#177045#911063,1,0.53154
477251#428756#651239,1,0.51202
214534#460726#619612,0,0.30650
306891#483568#596774,0,0.06649
203173#861079#219263,0,0.41119
394200#961454#118888,1,0.55419
191519#983181#97161,0,0.21334
288104#95452#992327,0,0.43211
409778#613093#467249,0,0.09717
413305#556036#524306,0,0.26713
219769#1063673#16669,0,0.40677
618099#198168#890095,1,0.55156
172972#118912#968917,0,0.45223
100163#156453#931647,1,0.54826
128207#870023#210319,0,0.44668
313533#24543#752692,1,0.59873
395162#792194#288148,0,0.30461
408371#319020#764116,0,0.22902
122973#998059#82283,1,0.62993
144241#621202#459140,0,0.20674
3596#88158#1017148,0,0.40669
267813#79897#1025301,0,0.46791
103427#736252#344090,0,0.34838
262868#794493#285849,0,0.32389
513546#851396#228946,0,0.11184
64873#660808#419534,1,0.59924
493355#259139#823850,1,0.53713
373709#290918#792138,0,0.42004
344901#116194#971623,0,0.40261
53493#389858#690000,1,0.78464
499969#599435#480907,0,0.47074
511589#773166#307176,0,0.15995
214911#468158#612184,0,0.44168
136214#808855#271487,0,0.15475
338829#476154#604188,0,0.34938
270585#973838#106504,0,0.41642
283102#1014047#66295,0,0.20487
274774#324782#758347,0,0.30563
246996#166456#921665,1,0.50416
9350#479329#601013,0,0.28521
299385#343980#736694,0,0.16138
349221#739687#340655,0,0.30319
208679#1049146#31196,1,0.68304
469137#55077#1049875,0,0.43386
199993#1029010#51332,1,0.54080
225030#532249#548093,0,0.43266
23062#1069201#11141,1,0.64076
102395#21084#1007927,0,0.26068
584996#500113#580229,1,0.63648
6672#471985#608357,0,0.28354
284082#778746#301596,0,0.38988
46441#1035775#44567,0,0.42138
188113#705940#374402,1,0.56951
595705#947484#132858,0,0.43052
401313#228773#854060,0,0.40424
626013#383689#696165,0,0.28589
341403#669733#410609,0,0.43345
220494#996657#83685,0,0.11942
10644#698463#381879,0,0.43065
238296#683154#397188,0,0.38602
80465#843804#236538,0,0.44639
589413#1073712#6630,1,0.64988
70083#484717#595625,0,0.47806
506799#831761#248581,0,0.17234
63320#667767#412575,1,0.54572
263787#626569#453773,0,0.18392
288534#631787#448555,1,0.53904
425521#966454#113888,0,0.27058
504137#724233#356109,0,0.36051
206452#670848#409494,0,0.37480
233632#176509#911598,0,0.40633
498433#813539#266803,0,0.24268
597441#874103#206239,0,0.21927
627776#959847#120495,0,0.45332
345420#172761#915362,0,0.26149
56912#565161#515181,1,0.66110
499316#509813#570529,0,0.37472
97501#271132#811880,1,0.71013
295807#259289#823700,0,0.49947
533550#959935#120407,1,0.56587
19427#1020341#60001,1,0.50182
39315#717358#362984,0,0.30208
151643#117783#970041,0,0.32576
537944#310321#772820,1,0.50136
193897#460109#620234,0,0.44013
238981#495762#584580,0,0.36922
598524#141560#946538,0,0.45223
256916#1039376#40966,0,0.35158
584966#1032295#48047,1,0.50302
485521#321802#761343,0,0.47884
552433#998608#81734,0,0.33190
623389#385378#694475,0,0.42580
412587#12234#1004516,0,0.23129
299445#861681#218661,0,0.49323
405712#40103#1064993,1,0.51654
359530#227876#854952,1,0.59147
