nit_enmascarado,num_oblig_orig_enmascarado,num_oblig_enmascarado,fecha_var_rpta_alt
519426,476099,604243,202401
343078,713036,367306,202401
579554,254116,828878,202401
361606,620091,460251,202401
27372,1071120,9222,202401
387473,591553,488789,202401
37054,250623,832376,202401
435457,71766,1033297,202401
411421,358837,721020,202401
331918,253524,829476,202401
458587,154497,933618,202401
200516,1030154,50188,202401
424997,233080,849749,202401
285438,489840,590502,202401
93856,179627,908493,202401
313683,1066197,14145,202401
305062,707119,373223,202401
359813,401620,678296,202401
41776,118031,969796,202401
549240,754384,325958,202401
535662,874906,205436,202401
222849,952636,127706,202401
444462,266806,816202,202401
565253,646348,433994,202401
128500,709481,370861,202401
143808,827882,252460,202401
178747,840420,239922,202401
397405,791419,288923,202401
122191,433493,646635,202401
334946,999342,81000,202401
466507,983180,97162,202401
433096,704351,375991,202401
249344,834226,246116,202401
586814,756878,323464,202401
171889,49153,1055675,202401
407152,754948,325394,202401
174421,950334,130008,202401
435971,408186,671733,202401
79401,329544,751154,202401
62326,575666,504676,202401
191580,608392,471950,202401
150465,751828,328514,202401
13297,802033,278309,202401
440173,760775,319567,202401
442984,720980,359362,202401
552594,639992,440350,202401
576414,385052,694806,202401
560396,1003964,76378,202401
544823,866439,213903,202401
9194,1025670,54672,202401
290724,807660,272682,202401
530843,263372,819616,202401
107783,692087,388255,202401
70803,436848,643431,202401
211885,802005,278337,202401
446279,759798,320544,202401
264024,611941,468401,202401
193260,980584,99758,202401
65778,256218,826766,202401
235978,198338,889925,202401
590023,172635,915491,202401
626504,683556,396786,202401
629920,228389,854435,202401
197602,1042672,37670,202401
412049,142919,945176,202401
301748,513514,566828,202401
478513,884913,195429,202401
193245,606920,473422,202401
193290,1006753,73589,202401
245382,479944,600398,202401
160609,1071834,8508,202401
53528,439720,640586,202401
202496,564525,515817,202401
171737,114820,973000,202401
142764,650690,429652,202401
72606,984659,95683,202401
411185,162516,925596,202401
341009,881844,198498,202401
167842,955562,124780,202401
243067,574984,505358,202401
626457,770963,309379,202401
258756,854117,226225,202401
484081,59049,1045925,202401
308602,718574,361768,202401
558028,992380,87962,202401
596135,186078,902072,202401
508953,757667,322675,202401
615703,1033661,46681,202401
604085,210296,872443,202401
344411,1033713,46629,202401
233656,390359,689528,202401
421342,466889,613453,202401
529462,841937,238405,202401
571571,266868,816140,202401
191688,781190,299152,202401
437311,406043,673881,202401
378556,704312,376030,202401
538767,202918,882314,202401
26822,99896,987887,202401
196205,431725,648333,202401
302739,817615,262727,202401
160709,93679,994096,202401
525744,663427,416915,202401
279050,364593,715259,202401
64905,836405,243937,202401
86505,1003940,76402,202401
226926,815070,265272,202401
4952,715767,364575,202401
222497,564466,515876,202401
239792,803265,277077,202401
258485,1009389,70953,202401
528548,843013,237329,202401
565161,695437,384905,202401
193725,201432,886838,202401
556430,74452,1030597,202401
117243,747538,332804,202401
589146,541231,539111,202401
519745,327951,755191,202401
272453,136203,951892,202401
131611,188772,899416,202401
451059,285315,797742,202401
22425,131153,956697,202401
468066,724720,355622,202401
442485,39868,1065223,202401
327062,576575,503767,202401
335753,447444,632903,202401
617523,49293,1055539,202401
511266,57511,1047451,202401
190167,793871,286471,202401
237974,1010767,69575,202401
320145,632549,447793,202401
489136,1012190,68152,202401
3563,237773,845204,202401
267658,588294,492048,202401
192375,110429,977369,202401
523253,353498,726371,202401
69057,495504,584838,202401
349551,194630,893625,202401
600739,333740,746839,202401
409228,448641,631716,202401
279847,428343,651655,202401
162869,316027,767113,202401
346121,423681,656302,202401
509751,47282,1057541,202401
617319,153934,934181,202401
560664,652870,427472,202401
412532,543787,536555,202401
369382,50381,1054486,202401
259705,280129,802915,202401
371843,126536,961298,202401
170522,113848,973966,202401
511467,390785,689119,202401
267000,767829,312513,202401
110199,557243,523099,202401
297272,842373,237969,202401
325667,327670,755462,202401
68545,621556,458786,202401
262075,521009,559333,202401
514472,896802,183540,202401
414665,94755,993019,202401
302441,1041849,38493,202401
31053,674800,405542,202401
132132,498346,581996,202401
388231,591252,489090,202401
148890,330654,750055,202401
404877,867315,213027,202401
25860,407677,672239,202401
417352,882669,197673,202401
88593,902546,177796,202401
179448,872771,207571,202401
116951,290382,792674,202401
296565,486890,593452,202401
586016,485202,595140,202401
278078,765712,314630,202401
202842,230807,852028,202401
458472,880170,200172,202401
97672,571299,509043,202401
491573,723869,356473,202401
109406,223936,858865,202401
468707,1036336,44006,202401
389813,177271,910839,202401
571070,978736,101606,202401
600231,319895,763255,202401
285438,489857,590485,202401
180038,259912,823069,202401
396044,217129,865640,202401
481918,268829,814184,202401
418234,807545,272797,202401
51629,1030560,49782,202401
115401,238550,844446,202401
358294,727484,352858,202401
269166,1049501,30841,202401
276159,401729,678188,202401
542980,42169,1062934,202401
53515,158028,930076,202401
634586,678806,401536,202401
347481,54414,1050534,202401
618710,492844,587498,202401
260902,604797,475545,202401
510838,587867,492475,202401
252859,518215,562127,202401
116667,482395,597947,202401
294765,434843,645349,202401
573222,889070,191272,202401
623826,267578,815436,202401
424866,1053820,26522,202401
113541,1062455,17887,202401
330612,645508,434834,202401
362351,182018,906117,202401
269078,472727,607615,202401
599381,222941,859858,202401
383380,274255,808766,202401
199792,860442,219900,202401
60233,498443,581899,202401
503202,545720,534622,202401
259074,475302,605040,202401
110295,855296,225046,202401
343769,490816,589526,202401
510332,890560,189782,202401
233229,1029133,51209,202401
78469,177776,910341,202401
551307,324329,758798,202401
533098,885970,194372,202401
162118,289400,793661,202401
90635,995250,85092,202401
31455,821056,259286,202401
467139,853719,226623,202401
468489,419665,660329,202401
518189,224035,858766,202401
476798,108883,978914,202401
414310,157149,930950,202401
576331,929288,151054,202401
458443,1016996,63346,202401
619095,1077145,3197,202401
272432,40961,1064143,202401
401867,328010,755135,202401
10371,440168,640141,202401
352879,735661,344681,202401
79008,104895,982878,202401
331087,673928,406414,202401
617462,1022999,57343,202401
592396,760130,320212,202401
57691,193328,894919,202401
342128,354729,725138,202401
485812,117985,969843,202401
575711,659934,420408,202401
361640,833271,247071,202401
217584,1063352,16990,202401
157612,559657,520685,202401
546857,51575,1053366,202401
437030,817729,262613,202401
19089,243672,839328,202401
422817,686399,393943,202401
300399,1054833,25509,202401
550002,775737,304605,202401
165004,210666,872079,202401
439822,437975,642319,202401
204815,1072676,7666,202401
91526,790821,289521,202401
605171,676220,404122,202401
15285,738742,341600,202401
261592,619954,460388,202401
544288,492171,588171,202401
195315,583124,497218,202401
295412,455572,624763,202401
242515,247508,835497,202401
88064,303718,779388,202401
457599,494453,585889,202401
474841,374275,705577,202401
415146,757010,323332,202401
517564,340980,739663,202401
123367,833822,246520,202401
408622,163871,924246,202401
48177,1022559,57783,202401
81489,529174,551168,202401
13766,359999,719864,202401
157803,1037640,42702,202401
151037,799684,280658,202401
374016,1061112,19230,202401
511098,991561,88781,202401
253953,609916,470426,202401
452953,799178,281164,202401
550809,888225,192117,202401
242351,439259,641046,202401
211024,302712,780400,202401
269037,512897,567445,202401
147616,142951,945146,202401
105881,691848,388494,202401
245732,980784,99558,202401
6478,138844,949254,202401
514200,494744,585598,202401
351734,611298,469044,202401
13113,37600,1067462,202401
414596,113441,974372,202401
94849,213819,868941,202401
189418,707207,373135,202401
286192,236248,846674,202401
96619,143338,944767,202401
118617,640670,439672,202401
252941,114200,973619,202401
205597,433580,646554,202401
50564,1021139,59203,202401
312853,983741,96601,202401
7184,1025055,55287,202401
407241,274576,808445,202401
384094,97559,990206,202401
104081,237972,845007,202401
556423,316927,766217,202401
310089,608190,472152,202401
395948,742019,338323,202401
160863,244165,838835,202401
180981,706887,373455,202401
309117,1006704,73638,202401
406558,808358,271984,202401
185339,319342,763804,202401
161406,294510,788582,202401
330782,572165,508177,202401
408085,403259,676660,202401
216761,795836,284506,202401
684,196279,891979,202401
375985,349801,730957,202401
43653,794575,285767,202401
342144,294072,789014,202401
297018,689626,390716,202401
474968,182922,905212,202401
73731,564805,515537,202401
320620,869495,210847,202401
179417,524487,555855,202401
331130,231433,851404,202401
392610,807409,272933,202401
173756,1080273,69,202401
486214,290766,792289,202401
413628,253191,829811,202401
260639,101179,986596,202401
86226,538123,542219,202401
414271,380952,698906,202401
109705,1023069,57273,202401
558167,665747,414595,202401
22965,995001,85341,202401
326466,313738,769400,202401
255679,619494,460848,202401
317953,363751,716099,202401
588997,736661,343681,202401
494018,634046,446296,202401
283935,841846,238496,202401
299809,348685,732062,202401
166379,754925,325417,202401
107137,834646,245696,202401
480348,326137,756999,202401
528424,657123,423219,202401
278006,276715,806313,202401
147142,206072,879204,202401
62176,667514,412828,202401
158414,843646,236696,202401
631123,661653,418689,202401
319482,187286,900868,202401
615346,392209,687692,202401
421579,198183,890080,202401
55361,815452,264890,202401
561630,383562,696291,202401
410424,982671,97671,202401
422759,459066,621275,202401
376724,960205,120137,202401
443739,447749,632602,202401
623274,451313,629047,202401
235534,766242,314100,202401
582662,159261,928847,202401
422027,58614,1046368,202401
330358,751392,328950,202401
277187,977764,102578,202401
329317,684952,395390,202401
22158,838763,241579,202401
467714,373328,706525,202401
376375,533174,547168,202401
227024,848188,232154,202401
93370,941779,138563,202401
7363,675879,404463,202401
609581,441353,638962,202401
267846,141852,946250,202401
585118,89080,1016225,202401
564292,227700,855130,202401
371376,1038285,42057,202401
533838,1027894,52448,202401
257264,628776,451566,202401
582850,426428,653551,202401
21270,545924,534418,202401
415378,189984,898251,202401
228750,416585,663409,202401
35737,1026553,53789,202401
407900,373435,706417,202401
570061,824361,255981,202401
384772,619835,460507,202401
587320,401804,678110,202401
297871,152622,935476,202401
226417,944009,136333,202401
259859,482034,598308,202401
424583,750022,330320,202401
291129,868048,212294,202401
26394,928261,152081,202401
529847,1015314,65028,202401
26589,743853,336489,202401
427801,827156,253186,202401
324481,1051035,29307,202401
26875,406006,673918,202401
360425,254596,828395,202401
361487,552930,527412,202401
416891,286078,796988,202401
239357,383195,696656,202401
66558,651989,428353,202401
570481,879621,200721,202401
518245,638127,442215,202401
220198,711531,368811,202401
415992,137860,950245,202401
123458,188898,899295,202401
188117,176240,911859,202401
374885,731119,349223,202401
585901,1012915,67427,202401
97734,615021,465321,202401
215554,371400,708449,202401
204446,872456,207886,202401
538596,295404,787691,202401
581047,571401,508941,202401
471392,188260,899907,202401
31136,508275,572067,202401
442733,994954,85388,202401
400640,424156,655828,202401
13946,35059,1069994,202401
332489,644848,435494,202401
468489,274365,808658,202401
265200,599737,480605,202401
442252,1056967,23375,202401
359358,39304,1065792,202401
275715,86519,1018746,202401
547986,54786,1050162,202401
613537,658628,421714,202401
410846,438101,642199,202401
601682,165729,922390,202401
56595,995686,84656,202401
441644,513463,566879,202401
266267,997300,83042,202401
312121,691737,388605,202401
282578,657322,423020,202401
549130,754749,325593,202401
23044,595773,484569,202401
8904,876197,204145,202401
608055,858464,221878,202401
30736,710154,370188,202401
343763,57279,1047678,202401
341810,372751,707102,202401
306867,832727,247615,202401
627219,333805,746776,202401
209171,464607,615735,202401
532133,487488,592854,202401
461440,636422,443920,202401
421280,144480,943618,202401
412885,1048245,32097,202401
273624,612662,467680,202401
21823,508250,572092,202401
88673,120964,966860,202401
575098,819118,261224,202401
325916,983991,96351,202401
114067,229388,853449,202401
547378,837724,242618,202401
136729,529893,550449,202401
341518,918377,161965,202401
300634,527961,552381,202401
393586,1006371,73971,202401
232918,1077320,3022,202401
493783,343750,736927,202401
226275,87646,1017633,202401
390458,383792,696064,202401
330293,60687,1044290,202401
2413,134449,953602,202401
497811,816589,263753,202401
8084,948207,132135,202401
416403,127167,960674,202401
413305,556072,524270,202401
382092,1053576,26766,202401
30772,868835,211507,202401
327648,214397,868362,202401
137403,160582,927524,202401
483682,871050,209292,202401
364761,194174,894079,202401
153584,403685,676236,202401
350798,967040,113302,202401
362468,1007180,73162,202401
614966,772832,307510,202401
307174,945696,134646,202401
193245,606903,473439,202401
274768,1065429,14913,202401
190134,727871,352471,202401
439167,657956,422386,202401
54694,387709,692145,202401
445121,362031,717826,202401
524860,654963,425379,202401
394347,620268,460074,202401
395162,792176,288166,202401
521559,647558,432784,202401
208505,753148,327194,202401
631828,168657,919475,202401
258901,270643,812362,202401
510626,127530,960320,202401
263255,668938,411404,202401
262250,1049778,30564,202401
135687,657693,422649,202401
284363,1007088,73254,202401
492903,114644,973178,202401
257585,284368,798691,202401
32996,459718,620625,202401
112446,845359,234983,202401
437387,177405,910709,202401
291173,1020710,59632,202401
26138,954250,126092,202401
232047,953461,126881,202401
444014,731577,348765,202401
307444,555614,524728,202401
332619,168068,920065,202401
561066,483305,597037,202401
388013,1071447,8895,202401
556861,155325,932780,202401
178632,144452,943646,202401
140071,233543,849289,202401
279619,895321,185021,202401
395897,403620,677432,202401
409709,890088,190254,202401
411738,1004988,75354,202401
517900,1024751,55591,202401
379248,239289,843725,202401
145253,522594,557748,202401
319930,447011,633338,202401
295574,1033665,46677,202401
50042,844831,235511,202401
465238,242347,840668,202401
612509,63398,1041598,202401
127489,137111,950993,202401
391435,609419,470923,202401
619993,1063457,16885,202401
139046,461482,618859,202401
75499,187193,900958,202401
19987,643075,437267,202401
254617,615597,464745,202401
578387,1038307,42035,202401
132839,689199,391143,202401
549150,776797,303545,202401
120657,372148,707706,202401
214453,490947,589395,202401
168827,137766,950339,202401
363484,1001241,79101,202401
152927,322858,760278,202401
302769,507421,572921,202401
429633,1055170,25172,202401
110391,150584,937512,202401
83653,446983,633366,202401
479496,860739,219603,202401
107282,686597,393745,202401
533606,502359,577983,202401
163867,176022,912076,202401
548786,262922,820066,202401
515199,944883,135459,202401
494442,725631,354711,202401
320212,310166,772974,202401
504849,49103,1055724,202401
496107,739796,340546,202401
304596,567434,512908,202401
130346,977557,102785,202401
11958,332108,748458,202401
71819,168107,920026,202401
271934,597704,482638,202401
477200,637125,443217,202401
577822,356780,723082,202401
277712,1009691,70651,202401
558356,346884,733827,202401
334004,413417,666498,202401
229256,1068868,11474,202401
12007,517397,562945,202401
498592,801128,279214,202401
548647,1018504,61838,202401
625471,304360,778746,202401
370681,61477,1043507,202401
521149,335634,744951,202401
411229,749020,331322,202401
264672,604137,476205,202401
562622,379133,700723,202401
222668,732087,348255,202401
536485,385664,694188,202401
74860,785059,295283,202401
573419,261084,821898,202401
556800,250239,832758,202401
528402,118549,969284,202401
2319,101519,986252,202401
85634,395896,684011,202401
78228,725516,354826,202401
284500,117619,970205,202401
55919,961289,119053,202401
300504,313325,769810,202401
617549,450832,629534,202401
342901,407289,672627,202401
188579,447618,632729,202401
464639,824010,256332,202401
260171,198339,889924,202401
227552,720742,359600,202401
520024,295694,787404,202401
89495,1026037,54305,202401
195977,249584,833417,202401
507825,160612,927495,202401
439737,361239,718623,202401
47355,285913,797152,202401
386315,336134,744453,202401
612460,223365,859434,202401
187834,1004142,76200,202401
597213,378962,700895,202401
598095,644292,436050,202401
363114,267818,815192,202401
255383,604662,475680,202401
228864,845241,235101,202401
594029,211623,871132,202401
508010,97774,989992,202401
366749,713173,367169,202401
64662,866942,213400,202401
382184,1041061,39281,202401
81372,952154,128188,202401
4595,560746,519596,202401
72986,233283,849545,202401
365425,469829,610513,202401
199859,237956,845022,202401
265204,274615,808405,202401
274786,1042079,38263,202401
84838,198252,890011,202401
35229,629206,451136,202401
206416,443479,636833,202401
217867,325097,758035,202401
184309,227798,855031,202401
124057,570555,509787,202401
615675,395913,683994,202401
460938,542490,537852,202401
546329,664805,415537,202401
363700,1040123,40219,202401
240582,203650,881592,202401
287949,438119,642182,202401
29470,33571,1071457,202401
64310,649524,430818,202401
202917,414775,665161,202401
275057,433683,646456,202401
58948,644709,435633,202401
156589,949714,130628,202401
263571,278133,804905,202401
350162,69767,1035285,202401
8168,842453,237889,202401
525929,1014484,65858,202401
47098,664065,416277,202401
243923,286508,796554,202401
16528,426103,653872,202401
510475,334003,746574,202401
589866,435599,644627,202401
509147,762823,317519,202401
104069,216274,866496,202401
540159,1044117,36225,202401
287463,618811,461531,202401
323218,573369,506973,202401
257991,212872,869886,202401
123997,750407,329935,202401
327835,313702,769437,202401
498919,901427,178915,202401
527380,183332,904805,202401
173908,805105,275237,202401
213922,739312,341030,202401
214438,739007,341335,202401
277764,726186,354156,202401
439920,861477,218865,202401
371066,401919,677998,202401
192753,607083,473259,202401
171731,710817,369525,202401
529769,445952,634380,202401
131475,700120,380222,202401
581893,444137,636187,202401
524187,231477,851360,202401
33836,205065,880188,202401
93622,227406,855421,202401
170509,951417,128925,202401
151592,959843,120499,202401
255395,1029802,50540,202401
6174,226825,855990,202401
17104,508980,571362,202401
557587,1030456,49886,202401
411912,271710,811303,202401
192684,435809,644422,202401
193125,515543,564799,202401
255303,748961,331381,202401
594430,177451,910664,202401
494990,378808,701046,202401
442754,952648,127694,202401
12113,882066,198276,202401
425062,189946,898289,202401
620159,199930,888339,202401
189964,986215,94127,202401
273363,97828,989937,202401
340965,295438,787656,202401
194619,895286,185056,202401
468076,321402,761749,202401
545907,831469,248873,202401
439893,897183,183159,202401
424051,806426,273916,202401
589900,759137,321205,202401
128639,656975,423367,202401
124394,650291,430051,202401
542464,491920,588422,202401
451232,881362,198980,202401
20733,793826,286516,202401
254690,159919,928182,202401
371359,970135,110207,202401
375870,172736,915388,202401
7411,775255,305087,202401
446799,785731,294611,202401
468870,1026584,53758,202401
353261,866931,213411,202401
457282,508220,572122,202401
181861,599569,480773,202401
159402,313032,770105,202401
602764,107504,980291,202401
314851,808029,272313,202401
549919,593000,487342,202401
317460,968438,111904,202401
598232,532707,547635,202401
155875,919188,161154,202401
441418,380934,698924,202401
554983,945842,134500,202401
618713,808918,271424,202401
434120,286775,796284,202401
15308,271368,811645,202401
261562,999881,80461,202401
425675,1067216,13126,202401
302278,882783,197559,202401
315482,812425,267917,202401
84934,448852,631505,202401
593970,71661,1033398,202401
325808,402754,677167,202401
32776,599530,480812,202401
113232,980155,100187,202401
426393,304445,778661,202401
561370,945846,134496,202401
304878,111081,976727,202401
596059,522344,557998,202401
557876,364747,715106,202401
609248,317322,765820,202401
552652,946519,133823,202401
345115,54606,1050343,202401
527442,778741,301601,202401
479246,353592,726275,202401
544279,974944,105398,202401
170325,265093,817896,202401
69048,946978,133364,202401
425678,730562,349780,202401
263842,987524,92818,202401
385527,466312,614030,202401
526195,405493,674428,202401
583676,197933,890330,202401
174359,360700,719162,202401
601228,704959,375383,202401
213493,137455,950655,202401
68526,262468,820516,202401
207113,624314,456028,202401
126711,113832,973982,202401
328105,412622,667293,202401
300645,221682,861108,202401
540797,332472,748107,202401
45729,108221,979574,202401
229457,728575,351767,202401
91518,866807,213535,202401
304113,576803,503539,202401
21552,35795,1069258,202401
629320,830217,250125,202401
233396,631264,449078,202401
156016,531970,548372,202401
119422,355691,724172,202401
431662,815610,264732,202401
421935,179502,908620,202401
554366,175169,912936,202401
479478,1003195,77147,202401
237627,155793,932306,202401
312564,477206,603136,202401
153771,213554,869209,202401
200621,1024615,55727,202401
510095,793832,286510,202401
46577,637253,443089,202401
342159,862865,217477,202401
372716,417750,662247,202401
241622,81620,1023626,202401
94963,161765,926340,202401
255304,645656,434686,202401
187771,218686,864092,202401
322648,287417,795655,202401
42691,545956,534386,202401
354158,951259,129083,202401
32589,649510,430832,202401
113086,317613,765530,202401
469651,555385,524957,202401
531127,539225,541117,202401
418521,94729,993044,202401
133301,157551,930549,202401
199271,963383,116959,202401
317049,170758,917380,202401
388048,952634,127708,202401
60375,503574,576768,202401
78081,226358,856456,202401
545838,217903,864868,202401
424201,135763,952327,202401
291590,797597,282745,202401
507305,401738,678179,202401
584468,418445,661550,202401
584334,323344,759788,202401
116797,457017,623305,202401
212682,236796,846142,202401
538297,505858,574484,202401
103582,1037122,43220,202401
406731,904051,176291,202401
391435,609605,470737,202401
4001,813298,267044,202401
30038,1054729,25613,202401
21163,851765,228577,202401
371476,112361,975452,202401
462807,625359,454983,202401
574496,368688,711171,202401
44938,536565,543777,202401
227900,955252,125090,202401
464259,675022,405320,202401
581632,1010363,69979,202401
180611,650307,430035,202401
343650,918684,161658,202401
39899,173325,914797,202401
304290,728153,352189,202401
127601,213510,869251,202401
490910,835975,244367,202401
259667,290106,792951,202401
117128,540924,539418,202401
192375,232586,850247,202401
215403,587920,492422,202401
197001,238316,844670,202401
541190,868376,211966,202401
415755,668995,411347,202401
25396,830524,249818,202401
314562,780110,300232,202401
497159,832224,248118,202401
539844,1044037,36305,202401
269622,974660,105682,202401
622805,1066604,13738,202401
408546,746965,333377,202401
274098,851115,229227,202401
173364,675352,404990,202401
266863,599189,481153,202401
227144,857282,223060,202401
270609,758119,322223,202401
452725,119390,968437,202401
621091,159591,928510,202401
426128,55103,1049848,202401
307664,1037345,42997,202401
291825,1021389,58953,202401
117097,184439,903698,202401
34108,338898,741747,202401
458068,1016664,63678,202401
453260,35110,1069944,202401
423041,814695,265647,202401
356447,358003,721859,202401
472445,346945,733765,202401
504417,95636,992140,202401
492826,833597,246745,202401
439789,736552,343790,202401
13153,806940,273402,202401
14229,344891,735788,202401
571824,249999,833001,202401
317143,1014545,65797,202401
544378,1022436,57906,202401
281403,643024,437318,202401
417135,575510,504832,202401
260473,975126,105216,202401
172212,99449,988333,202401
270848,546717,533625,202401
589958,230040,852792,202401
425552,387890,691962,202401
193125,515535,564807,202401
541556,353452,726417,202401
443893,442199,638109,202401
131815,875662,204680,202401
560274,652767,427575,202401
592230,1069577,10765,202401
524341,470658,609684,202401
448834,869060,211282,202401
357561,475334,605008,202401
226191,1063514,16828,202401
595273,540328,540014,202401
168104,528418,551924,202401
179761,164154,923961,202401
629375,1054154,26188,202401
531968,663339,417003,202401
237732,362029,717828,202401
279207,770927,309415,202401
594421,685247,395095,202401
218440,189158,899051,202401
601381,542992,537350,202401
80079,1063473,16869,202401
595671,221308,861484,202401
256665,91562,996201,202401
188079,494982,585360,202401
606014,823530,256812,202401
14967,642952,437390,202401
67409,789660,290682,202401
334612,912325,168017,202401
311073,1041072,39270,202401
347574,147779,940315,202401
164357,760789,319553,202401
507368,763347,316995,202401
530101,1039968,40374,202401
334498,768103,312239,202401
220347,102198,985573,202401
223635,848403,231939,202401
453623,984851,95491,202401
243100,874885,205457,202401
209354,148530,939565,202401
162451,547881,532461,202401
321904,158729,929383,202401
147575,199232,889034,202401
560013,130024,957818,202401
35692,328943,751748,202401
71427,967994,112348,202401
396111,369241,710618,202401
411914,906400,173942,202401
67222,565614,514728,202401
316829,252019,830989,202401
433643,942738,137604,202401
192095,959460,120882,202401
218867,964644,115698,202401
17058,748047,332295,202401
115015,705079,375263,202401
508040,691669,388673,202401
53111,215984,866784,202401
288918,193237,895010,202401
375817,986078,94264,202401
566730,358560,721301,202401
327739,1063585,16757,202401
169462,846042,234300,202401
104277,1010866,69476,202401
227980,734143,346199,202401
6123,826513,253829,202401
621358,105113,982662,202401
402296,367297,712562,202401
168259,964135,116207,202401
308501,605391,474951,202401
557944,379484,700370,202401
412729,34489,1070550,202401
251315,339571,741074,202401
407125,755905,324437,202401
59553,389569,690279,202401
459214,934846,145496,202401
545423,867868,212474,202401
355568,1024080,56262,202401
400508,69504,1035548,202401
41216,830684,249658,202401
488998,201278,886992,202401
142907,507559,572783,202401
130874,839135,241207,202401
500691,1011366,68976,202401
510023,870762,209580,202401
281234,350221,730539,202401
269468,135344,952749,202401
287645,177813,910303,202401
378169,460521,619815,202401
186747,789916,290426,202401
232258,1041833,38509,202401
3440,626328,454014,202401
184346,505193,575149,202401
575638,659896,420446,202401
463201,883347,196995,202401
633104,666511,413831,202401
222536,1013389,66953,202401
317690,1000256,80086,202401
230435,33338,1071687,202401
272083,649151,431191,202401
517421,935775,144567,202401
14355,142047,946052,202401
576904,747203,333139,202401
304715,559919,520423,202401
30675,1003592,76750,202401
174475,619315,461027,202401
229519,844092,236250,202401
517989,245085,837911,202401
306291,30120,1014194,202401
417834,724285,356057,202401
372484,53586,1051366,202401
375764,957601,122741,202401
296680,1471,1076815,202401
626048,11278,1013109,202401
152112,31393,752607,202401
68548,15392,1077061,202401
200844,592,1072684,202401
310808,22450,1011203,202401
541947,157634,928031,202401
326218,60631,1044347,202401
310144,32216,886351,202401
633888,20263,1010787,202401
333068,280410,814417,202401
626336,15790,1073187,202401
337871,6432,1008575,202401
273654,429090,650630,202401
516601,583,877306,202401
314362,19938,886174,202401
20985,2233,1078050,202401
20985,2233,1073686,202401
306725,30084,1004831,202401
45200,96270,974963,202401
120468,25500,1000844,202401
24258,10696,1003722,202401
50182,2151,1072008,202401
315517,18221,1079618,202401
315946,4298,884189,202401
9706,1091,997270,202401
46162,29092,727980,202401
544211,6800,1008645,202401
127499,449218,636886,202401
232689,31940,753969,202401
311366,27006,877655,202401
309024,23715,1004905,202401
310142,30502,1014059,202401
267617,12106,1009421,202401
308123,14067,1076964,202401
158174,8236,1002391,202401
309662,26732,754387,202401
313695,22851,1005575,202401
312757,23401,883523,202401
518575,28362,752360,202401
516605,3688,1080051,202401
314000,12404,997636,202401
512959,16786,1009305,202401
314592,5092,1077053,202401
310843,31334,877310,202401
344055,10193,1011824,202401
237462,12100,1012312,202401
307855,26459,884235,202401
365574,336528,744615,202401
306281,25564,1006945,202401
76524,31233,754410,202401
519887,639293,441049,202401
222006,346478,734228,202401
516943,874528,205814,202401
359944,506605,573737,202401
573323,343540,737132,202401
568221,235119,847758,202401
294909,520417,559925,202401
534276,1028505,51837,202401
37145,643852,436490,202401
300270,741045,339297,202401
580071,93132,994636,202401
433473,519454,560888,202401
621222,1069049,11293,202401
280799,421287,658703,202401
390942,899413,180929,202401
444843,752837,327505,202401
49560,850719,229623,202401
336463,243224,839781,202401
359905,739765,340577,202401
564010,609084,471258,202401
216140,1032737,47605,202401
612454,666465,413877,202401
44398,390406,689482,202401
363211,38515,1066572,202401
18561,311467,771676,202401
432969,911476,168866,202401
